[Instant { tv_sec: 73655, tv_nsec: 131478056 }] [IDLE] Height: 60 | Waiting for transactions...
[Instant { tv_sec: 73661, tv_nsec: 146955912 }] [IDLE] Height: 61 | Waiting for transactions...
[Instant { tv_sec: 73667, tv_nsec: 161949836 }] [IDLE] Height: 62 | Waiting for transactions...
[Instant { tv_sec: 73673, tv_nsec: 177365146 }] [IDLE] Height: 63 | Waiting for transactions...
[Instant { tv_sec: 73679, tv_nsec: 193323148 }] [IDLE] Height: 64 | Waiting for transactions...
[Instant { tv_sec: 73685, tv_nsec: 204677788 }] [IDLE] Height: 65 | Waiting for transactions...
[Instant { tv_sec: 73691, tv_nsec: 216177395 }] [IDLE] Height: 66 | Waiting for transactions...
[Instant { tv_sec: 73697, tv_nsec: 229927542 }] [IDLE] Height: 67 | Waiting for transactions...
[Instant { tv_sec: 73703, tv_nsec: 248935222 }] [IDLE] Height: 68 | Waiting for transactions...
[Instant { tv_sec: 73709, tv_nsec: 261992421 }] [IDLE] Height: 69 | Waiting for transactions...
[Instant { tv_sec: 73715, tv_nsec: 285987877 }] [IDLE] Height: 70 | Waiting for transactions...
[Instant { tv_sec: 73721, tv_nsec: 302207235 }] [IDLE] Height: 71 | Waiting for transactions...
[Instant { tv_sec: 73727, tv_nsec: 318129014 }] [IDLE] Height: 72 | Waiting for transactions...
